region,locationType,ifcoSystemPartner,locationTag,locationName,extLocationId,countryName
EU,Retailer Reverse Logistics,Sonae,RRL,Xdock MS - Logifrio Riachos,420b78bc-5bc0-4ee1-ae33-c4376f5eec2d,Portugal
EU,Producer,null,PRD,Hortafina Prod. Hort. Lda.,36d5b21f-f97f-4369-be35-d61c9663748f,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Ponte de Lima,28583f9b-9bc7-49d4-90c4-81f9ece9b6e6,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Ponte de Sor,a769e1d8-a74e-4355-bae4-c76357f29b72,Portugal
EU,Shop / Point of Sale,Sonae,POS,MDL SEIXAL,1f038e7a-6875-4f04-b6cc-71a7f0980dc5,Portugal
EU,Producer,null,PRD,FRUBACA - Coop. de Hortof.,486b9b02-ce52-43b2-a90a-8edb732d73d9,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Carvalhos,74df275f-567e-40dd-943d-c14715e5af62,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Ovar,aa9fa031-cfb7-4e0c-8673-3d1c9193af59,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Sao Felix da Marinha,982fec5d-1327-4648-9401-e92e022f8cad,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Povoa do Varzim,2baab31d-6c54-4a0b-a212-825f16da0f3e,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia General Rocadas,21ab97c2-afb2-409d-af88-c513b9526192,Portugal
EU,Producer,,PRD,Firmino Canteiro Lopes,10236e5e-c8a0-4406-840a-1a2fe0fb70a3,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Monte da Virgem,d1957976-8536-4759-adfd-45f2480a00f1,Portugal
EU,Shop / Point of Sale,Sonae,POS,MS MELRES,f1bbd4f6-0794-4a67-8650-f83da48aaf0d,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Estoril,e85c4aed-8d87-47b8-a331-c69459ff2930,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Aveiro,a6f64b22-96e0-44f7-88a2-7331aef10131,Portugal
EU,Producer,null,PRD,OPCAO Producao Horticola,5ded335e-ad79-471a-bea0-64a46b93878c,Portugal
EU,Service Centre / Wash Centre,null,SC,IFCO SC Nuneaton,8e5ad46e-5e7e-45c1-8283-2de541e233af,Great Britain
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Valenca,a52371f4-a76f-4cd9-9c60-eabe5de829f6,Portugal
EU,Producer,null,PRD,Quinta do Olheiro Lda.,2f3e9e97-5a8f-461c-86f7-7e73d030b331,Portugal
EU,Asset Recovery,null,AR,Banco Alimentar Porto,364e40f2-b0c8-4fce-bef2-3581832b33a0,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Matosinhos,45009f89-5b5b-4cb0-bc62-ac9ddef0fdf4,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Estarreja,f532f23f-64a4-4813-8387-77c8045964d5,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Vila Praia de Ancora,1f7083a5-207b-4ba7-a9cc-dc13b7af680e,Portugal
EU,Producer,null,PRD,Lusiaves S. A,ae317a1c-dc16-4efb-be5c-5d2e60a2c1b1,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Alta de Lisboa,b4986f29-0f48-4f8e-aa25-bcc262d7393f,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Baguim do Monte,8f4f6abc-052e-468f-bd25-b90b8074a19e,Portugal
