PortalId,SiteID,PortalName
602ED91E-53AC-4E29-953A-CB2BC46FBF03,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 28
BF3BEA92-CC42-4E3A-93A7-CB2F27D4C60E,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 09
7B6B9D86-FDF2-EC11-B47A-CC60C8A45E88,A4E883BD-BED9-EB11-A7AC-A04A5EA8C64B,Trendz Red Inbound 1
D8E5EA99-D066-4742-9957-CCDB678630E4,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 24
5C5E6F03-9540-42E7-A4B2-CE8B6B9D779B,FAC38CEA-A031-449E-A38F-2D129B1768E6,Sanko Mexico Dock 1
115BB5BE-CA5D-40A2-B500-CF3FD36CFA91,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Washline 2
F4EC6F76-953C-4BCF-B361-D1DBD0A245FC,32DC1238-3C1A-EC11-981F-A04A5E9D8BA9,Longueuil Washline 1
009C7B75-979D-462D-8669-D1E3E3D0118A,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 28
86718329-CF16-4C61-B8A8-D2484423C0CA,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Inbound 08
99C83DDE-8F71-4293-9780-D2CDB2DEF8E5,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 16
0A420C47-BF19-4BD2-8567-D3A89A4C1CA2,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Washline 01
72DA20EA-8B95-49DF-A5AE-D50B34AC4EAF,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,GuelphWashline1
3C7B731F-B0D8-445D-B898-D64C977A5E1B,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 14
EEF48EA8-4C20-444C-B71F-D69E274B1280,29C58C0E-8261-EB11-9889-000D3A103234,Portland Dock 20
1CCAAA70-D51D-45FF-8BA7-D71FAD955730,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 25
AB8228EA-4942-41F5-B2CE-D7A8FFEF789F,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 02
5D9AB331-8669-4C88-AEA9-D7E3C4A3E46D,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Outbound 12
01BB595E-09AC-4580-836B-DA3796E94067,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 30
613765F0-CF15-4DF8-9553-DA394C08741A,29C58C0E-8261-EB11-9889-000D3A103234,Portland Dock 18
21C48109-B51F-4BFB-B75F-DFCF560175BF,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Outbound 11
CC85DE6E-96F9-4FE2-91A4-E624DC648AEA,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Outbound 5
E9800268-7367-4F9A-AA66-E69EA6ED7B44,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 06
8197737E-28D9-47A9-8BED-E96487FD0413,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 01
676420A4-8F2B-4C5F-8770-EA0BF8EE598A,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 19
C34D61BE-7705-4B61-BF96-ECEC78BDF86D,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 21
69A24C11-DCCE-447D-ACB3-EF3879CA7B14,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 31
EF403DCC-9AF1-4E4F-97C6-F0ECCCAE254C,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 05
8CC0B42D-CBFA-4881-A548-F1D4B99E8531,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Washline 2
F8E5BE9A-D140-41BA-B7BA-F4934D09D0E4,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 26
139B7E59-7582-468C-8CFE-F556076F2D87,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Outbound 6
78FC0616-FF3F-4640-8B51-F89E393D9399,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 12
B5DCEF1E-0AA7-492D-97DD-FF650C09BD96,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 30
