Id,Name,validFrom_DLS,validTo_DLS
cd7a0e42-6d79-4c86-893c-0fc9fa7c0d08,"Walmart {Store} #1853 Hemet, CA  (WM001853)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
93beb8c8-ab21-4ffc-8585-6f9535752020,"Walmart {Store} #1752 Bay City, MI  (WM001752)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
8914336c-723a-4d3c-9968-acbee7382bfb,"Walmart {Store} #472 Broken Arrow, OK  (WM000472)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
b8ae58f5-419f-4e2c-a7a9-8c8901a20e81,"Walmart {Store} #3265 Yorktown, VA  (WM003265)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
1f1592fc-f94b-42fb-8e5a-3cadba731aca,"Walmart {Store} #2754 Waynesboro, GA  (WM002754)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
c0c24a1d-e270-40bf-9fba-30ea49082aaf,"Walmart {Store} #100 Bentonville, AR  (WM000100)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
126a87aa-44aa-4201-8e56-5da829ee077b,"Walmart {Store} #1467 Jamestown, TN  (WM001467)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
aa03acfc-e2e9-4e12-b778-c223eaed9a87,"Walmart {Store} #1801 Arlington, TX  (WM001801)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
dfdec27d-a691-47fd-8bdc-e35683627cf6,"Walmart {Store} #2534 Dothan (S), AL  (WM002534)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
e486c5db-76e6-4877-8e14-5495842eaa23,"Walmart {Store} #591 Cynthiana, KY  (WM000591)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
91576b9b-3f25-430d-a618-4efed23850a9,"Walmart {Store} #2398 Newington, NH  (WM002398)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
32d0b466-3804-4c18-9a54-d9fd352c5929,"Walmart {Store} #785 Waynesboro, MS  (WM000785)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
166cc3f8-2a6e-412d-87c0-9f1c656031a0,"Walmart {Store} #3295 Broken Arrow, OK  (WM003295)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
448bb2df-601e-4edd-8e35-407e3aaf8955,"Walmart {Store} #5893 Novi, MI  (WM005893)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
e4421209-8ee9-420c-8d79-1eab6c4dc0b1,"Walmart {Store} #2023 Lebanon, PA  (WM002023)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
b9e5ab56-6484-44ab-8c76-3915b192fdd8,"Walmart {Store} #1487 Michigan City, IN  (WM001487)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
519522f7-2af3-460b-9f90-7329d2daeda1,"Walmart {Store} #3516 Chula Vista (E), CA  (WM003516)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
3da0dcc8-d2a9-453d-84f4-4e013bc43516,"Walmart {Store} #4600 Gretna, NE  (WM004600)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
9b83e1b1-f8d1-4a1b-84fc-3bc2099da8ec,"Walmart {Store} #5293 Valley Stream, NY  (WM005293)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
9f384e50-11c4-45e6-a330-d9fd0d785bc7,"Walmart {Store} #2145 Whitehall, Pa (Allentown), PA  (WM002145)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
449c0ad8-f8f8-4bd4-af58-36bf6c3ea454,"Walmart {Store} #1408 Tallahassee(W), FL  (WM001408)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
484fa826-cb5c-4169-b73c-68126e7aa7ea,"Walmart {Store} #1835 Vestal, NY  (WM001835)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
6aff6c2d-87b7-4b75-a9ac-e24c6e89698b,"Walmart {Store} #258 Tupelo, MS  (WM000258)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
f5721d44-89fc-4e19-84fd-df96d978d665,"Walmart {Store} #578 Sevierville, TN  (WM000578)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
14efee06-615f-4316-9892-5d56a243e0de,Walmart {DC} #7122 HERMISTON (WM007122),2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
0be9255b-a87a-476a-a52f-d556d445f9b5,"Walmart {Store} #2880 Tulsa (Sheridan), OK  (WM002880)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
57b210a0-79cb-46ee-9b54-907acdc22290,"Walmart {Store} #4696 Heber City, UT  (WM004696)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
101bbefe-4cb6-41c3-b626-aea8081cc457,"Walmart {Store} #2190 Woodland, CA  (WM002190)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
4777cd45-b50b-4fda-80a3-b7150ec7b1c5,Walmart {DC} #7089 SOUTHGATE (WM007089),2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
736c7ca2-d0e0-4087-a242-00108adfb4d8,"Walmart {Store} #5716 Huntsville, AL  (WM005716)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
82f22e77-742d-4df1-baaf-9a1806c20815,"Walmart {Store} #2391 New Port Richey, FL  (WM002391)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
b06440be-ce6d-409b-88c2-b6a31c2da46b,"Walmart {Store} #7229 El Paso Sunland Park, TX  (WM007229)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
4c9387f7-39c4-472d-ba9e-d0db7ab4188d,"Walmart {Store} #2073 Cleveland, OH  (WM002073)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
8fd2b434-7813-453c-8b04-7e1ff0533b62,"Walmart {Store} #2421 Saint Croix Falls, WI  (WM002421)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
37c72fdd-eab7-4150-9346-8d3e6aa21629,"Walmart {Store} #54 Springdale, AR  (WM000054)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
51412791-0d18-4b2b-8016-7e71397e8202,"Walmart {Store} #2730 Tarboro, NC  (WM002730)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
dc546b63-d188-4519-8853-507ca90dc054,"Walmart {Store} #3067 Norcross, GA  (WM003067)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
d47b2d11-b546-427b-8f35-991b0adf6aa2,"Walmart {Store} #2089 Bristol, VA  (WM002089)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
839c3228-7267-44fa-bb19-ecc0d6c6c7b8,"Walmart {Store} #5957 Lakeside, CO  (WM005957)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
2b10ea4d-7c19-4051-b11f-10579a3b44cf,"Walmart {Store} #1363 Madison, GA  (WM001363)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
7517a86e-00c7-4cf4-bea6-01f9c2457c0c,"Walmart {Store} #994 New Port Richney (Elfers), FL  (WM000994)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
26ffc65e-8b48-4bb8-9502-7c37f8f26b90,"Walmart {Store} #2948 Santa Fe Springs, CA  (WM002948)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
da0009b8-54e6-4dc9-bc13-4f322780494c,Walmart {DC} #6076 CATANO (WM006076),2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
3af5394e-cd3d-4201-8f09-35ae981b1be9,"Walmart {Store} #3083 Colorado Springs Platte C, CO  (WM003083)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
277a9f66-d726-47a0-96ef-93e4ac7986db,Propak-Albuquerque NM RLC (971544) {3PL},2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
1f337330-75f4-45ac-9ed5-d2ab7125f95f,"Walmart {Store} #2549 Spokane, WA  (WM002549)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
2aadfbea-06fd-4382-9255-788e1c83b9d3,"Walmart {Store} #2308 Lihue, HI  (WM002308)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
545bf9f1-9d50-4f28-a2ec-5bbf561f1cf0,"Walmart {Store} #3143 Tucson Camino Seco, AZ  (WM003143)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
1286eaf4-caf2-487d-b7c2-8691a7a638f3,"Walmart {Store} #1313 San Antonio (S), TX  (WM001313)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
a122268c-c66c-48d4-8e36-e17987be68c8,"Walmart {Store} #3349 Port Charlotte (E), FL  (WM003349)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
fb13dddb-eced-44f8-8020-1eb3151e23b5,"Walmart {Store} #1534 Bismarck, ND  (WM001534)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
541871ba-5d06-4325-b2a7-7fdc3f0e8033,"Walmart {Store} #3179 Thousand Oaks, CA  (WM003179)",2024-02-27T07:30:17.000Z,9999-12-31T23:59:59.999Z
